SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SAWALIYA,Sawaliya Food Products Limited,SM,14-Aug-25,10,INE10VS01016,10,
AARADHYA,Aaradhya Disposal Industries Limited,SM,11-Aug-25,10,INE124401014,10,
PARTH,Parth Electricals & Engineering Limited,ST,11-Aug-25,10,INE1H7V01011,10,
JYOTIGLOBL,Jyoti Global Plast Limited,ST,11-Aug-25,10,INE1M3T01017,10,
BHADORA,Bhadora Industries Limited,SM,11-Aug-25,10,INE0ZRC01017,10,
FLYSBS,FlySBS Aviation Limited,SM,08-Aug-25,10,INE0VCK01011,10,
CUDML,Cash Ur Drive Marketing Limited,SM,07-Aug-25,10,INE0WL201014,10,
RNPL,Renol Polychem Limited,SM,07-Aug-25,10,INE0VZX01015,10,
KAYTEX,Kaytex Fabrics Limited,SM,05-Aug-25,10,INE13ZD01013,10,
SELLOWRAP,Sellowrap Industries Limited,SM,01-Aug-25,10,INE0IJF01013,10,
TSC,TSC India Limited,SM,30-Jul-25,10,INE16VK01010,10,
SAVY,Savy Infra and Logistics Limited,SM,28-Jul-25,10,INE0UCN01017,10,
SPUNWEB,Spunweb Nonwoven Limited,SM,21-Jul-25,10,INE19QH01010,10,
SMARTEN,Smarten Power Systems Limited,SM,14-Jul-25,10,INE14GK01016,10,
WHITEFORCE,Happy Square Outsourcing Services Limited,ST,10-Jul-25,10,INE0TLP01015,10,
ETL,Emkay Tools Limited,SM,08-Jul-25,1,INE0PXC01024,1,
CEDAAR,Cedaar Textile Limited,SM,07-Jul-25,10,INE11J101017,10,
SILKY,Silky Overseas Limited,SM,07-Jul-25,10,INE0SN801015,10,
PUSHPA,Pushpa Jewellers Limited,SM,07-Jul-25,10,INE154801018,10,
PROFX,Pro FX Tech Limited,SM,03-Jul-25,10,INE0VJT01017,10,
MMEL,Moving Media Entertainment Limited,SM,03-Jul-25,10,INE0XM301010,10,
RTL,Rama Telecom Limited,ST,02-Jul-25,10,INE14W901010,10,
SUNTECH,Suntech Infra Solutions Limited,SM,02-Jul-25,10,INE0SGZ01016,10,
SHKSIL,Shri Hare-Krishna Sponge Iron Limited,SM,01-Jul-25,10,INE0NON01025,10,
AAKAAR,Aakaar Medical Technologies Limited,ST,27-Jun-25,10,INE1GYP01013,10,
MAYASHEEL,Mayasheel Ventures Limited,SM,27-Jun-25,10,INE0ZTO01018,10,
SAFEENTP,Safe Enterprises Retail Fixtures Limited,SM,27-Jun-25,5,INE17D601016,5,
INFLUX,Influx Healthtech Limited,SM,25-Jun-25,10,INE0MYZ01012,10,
EEPL,Eppeltone Engineers Limited,SM,24-Jun-25,10,INE11HF01010,10,
SAMAY,Samay Project Services Limited,SM,23-Jun-25,10,INE124101010,10,
PATILAUTOM,Patil Automation Limited,ST,23-Jun-25,10,INE17GV01016,10,
MONOLITH,Monolithisch India Limited,SM,19-Jun-25,10,INE1DV401010,10,
JAINIK,Jainik Power Cables Limited,SM,17-Jun-25,10,INE0XIL01012,10,
