SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PGIMCSR3D,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Monthly IDCW,MF,20-MAR-2020,1,1,INF663L01V15,10
PGIMCSR4D,PGIM India Money Market Fund-Seg Port 1 - Reg Pln - Qtr IDCW,MF,20-MAR-2020,1,1,INF663L01V23,10
SFMP1DD,SBI MF - SBI Fixed Maturity Plan (FMP) Series - 1 (3668 Days)-DP-DP,MF,04-APR-2019,10,1,INF200KA1D11,10
SFMP1DR,SBI MF - SBI Fixed Maturity Plan (FMP) Series - 1 (3668 Days)-RP-DP,MF,04-APR-2019,10,1,INF200KA1C95,10
SFMP1GD,SBI MF - SBI Fixed Maturity Plan (FMP) Series - 1 (3668 Days)-DP-G,MF,04-APR-2019,10,1,INF200KA1D03,10
SFMP1GR,SBI MF - SBI Fixed Maturity Plan (FMP) Series - 1 (3668 Days)-RP-G,MF,04-APR-2019,10,1,INF200KA1C87,10
SFMP49DD,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-DP-IDCW Payout,MF,31-AUG-2021,10,1,INF200KA1Z31,10
SFMP49DR,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-RP-IDCW Payout,MF,31-AUG-2021,10,1,INF200KA1Z15,10
SFMP49GD,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-DP-G,MF,31-AUG-2021,10,1,INF200KA1Z23,10
SFMP49GR,SBI Mutual Fund - SBI FMP - Series 49 (1823 Days)-RP-G,MF,31-AUG-2021,10,1,INF200KA1Z07,10
SFMP50DD,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days) -DP-IDCW Payout,MF,15-SEP-2021,10,1,INF200KA1Z72,10
SFMP50DR,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days) -RP-IDCW Payout,MF,15-SEP-2021,10,1,INF200KA1Z56,10
SFMP50GD,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days)-DP-G,MF,15-SEP-2021,10,1,INF200KA1Z64,10
SFMP50GR,SBI Mutual Fund - SBI (FMP) - Series 50 (1843 Days)-RP-G,MF,15-SEP-2021,10,1,INF200KA1Z49,10
SFMP61DD,SBI Mutual Fund - SBI FMP S61 - SFMP61DD-DP- IDCW Payout Option,MF,29-MAR-2022,10,1,INF200KA14F8,10
SFMP61DR,SBI Mutual Fund - SBI FMP S61 - SFMP61DR-RP - IDCW Payout,MF,29-MAR-2022,10,1,INF200KA12F2,10
SFMP61GD,SBI Mutual Fund - SBI FMP S61 - SFMP61GD-DP-Growth Option,MF,29-MAR-2022,10,1,INF200KA13F0,10
SFMP61GR,SBI Mutual Fund - SBI FMP S61 - SFMP61GR-RP-Growth Option,MF,29-MAR-2022,10,1,INF200KA11F4,10
SFMP6DD,SBI Mutual Fund-SBI Fixed Maturity Plan Series - 6(3668 days) -DP-DP,MF,23-MAY-2019,10,1,INF200KA1F35,10
SFMP6DR,SBI Mutual Fund-SBI Fixed Maturity Plan Series-6(3668 days)-RP-DP,MF,23-MAY-2019,10,1,INF200KA1F19,10
SFMP6GD,SBI Mutual Fund-SBI Fixed Maturity Plan Series-6(3668 days)-DP-G,MF,23-MAY-2019,10,1,INF200KA1F27,10
SFMP6GR,SBI Mutual Fund-SBI Fixed Maturity Plan Series-6(3668 days)-RP-G,MF,23-MAY-2019,10,1,INF200KA1F01,10
SFMP74DD,SBI Mutual Fund - SBI FMP Series 74 - 1243D -DP-IDCWPO,MF,10-JAN-2023,10,1,INF200KA12U1,10
SFMP74DR,SBI Mutual Fund - SBI FMP Series 74 - 1243D -RP-IDCWPO,MF,10-JAN-2023,10,1,INF200KA10U5,10
SFMP74GD,SBI Mutual Fund - SBI FMP Series 74 - 1243D -DP-GO,MF,10-JAN-2023,10,1,INF200KA11U3,10
SFMP74GR,SBI Mutual Fund - SBI FMP Series 74 - 1243D -RP-GO,MF,10-JAN-2023,10,1,INF200KA19T8,10
UTFDAIPIGI,UTI Annual Interval Fund - I,MF,28-AUG-2013,10,1,INF789F01VW8,10
UTFDAIPIPI,UTI Annual Interval Fund - I,MF,28-AUG-2013,10,1,INF789F01VU2,10
UTFIAIPIGI,UTI Annual Interval Fund - I,MF,07-JUN-2011,10,1,INF789F01FJ8,10
UTFIAIPRGI,UTI Annual Interval Fund - I,MF,07-JUN-2011,10,1,INF789F01FG4,10
UTFIAIPRPI,UTI Annual Interval Fund - I,MF,07-JUN-2011,10,1,INF789F01FE9,10
UTFIAIPRRI,UTI Annual Interval Fund - I,MF,07-JUN-2011,10,1,INF789F01FF6,10
UTIDGR36P1,UTI Mutual Fund - UTI FTIF - Sr XXXVI - I (1574 D) - DP-GO,MF,06-MAR-2023,10,1,INF789F1AXP7,10
UTIDPP36P1,UTI Mutual Fund - UTI FTIF - Sr XXXVI - I (1574 D) - DP-IDCWPO,MF,06-MAR-2023,10,1,INF789F1AXO0,10
UTIRGR36P1,UTI Mutual Fund - UTI FTIF - Sr XXXVI - I (1574 D) - RP-GO,MF,06-MAR-2023,10,1,INF789F1AXN2,10
UTIRPP36P1,UTI Mutual Fund - UTI FTIF - Sr XXXVI - I (1574 D) - RP-IDCWPO,MF,06-MAR-2023,10,1,INF789F1AXM4,10
