SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BIRET,Brookfield India Real Estate Trust,RR,16-Feb-21,275,200,INE0FDU25010,275
MINDSPACE,Mindspace Business Parks REIT,RR,7-Aug-20,275,200,INE0CCU25019,275
EMBASSY,Embassy Office Parks REIT,RR,1-Apr-19,300,400,INE041025011,300
,,,,,,,
"Note: the Market lot is updated as on the date of listing, For Latest Market lot of the securities you may refer the NSE Circular. ",,,,,,,
